"aikuinen, aikuistua, aikuisuus"
"mökki, mökkeillä"
naulakko
"neliö, nelikulmio, neliskanttinen, neliskulmainen"
"nukkua, nukkumaanmeno, nukutus"
"numero, numeerinen, numeroida"
omaisuus
omakotitalo
"omistus, omistaa, omistaja, omistajuus"
suhde
"opiskelija, opinto, opiskella, opiskelu"
osake
osoite
ovi
"pakollinen, pakottaa"
pelti
perhe
"puhua, puhelias, puhuja, puhutella, puhuttu, puhe"
pääty
"pää, pää, päähän, päästä, päästä"
"pääsy, päästää, päättyä, päätyä"
"rakennus, rakennelma, rakentaa, rakentaminen, rakentaa"
"rauha, rauhaisa, rauhallinen, rauhallisuus, rauhoittaa, rauhoittua"
rivi
rivitalo
seutu
"siivota, siivooja, siivous"
vessa
"sisään, sisä, sisäinen, sisällä, sisällään, sisälle, sisältä, sisässä, sisästä"
"lasku, laskuttaa"
"säilyttää, säilyä, säilyttäjä, säilytys"
"sänky, peti, vuode"
ilmiö
"tyyppi, tyyppinen"
talous
yhtiö
"televisio, telkkari, tv, tv"
tietokone
tiipii
tulla
"turvallinen, turva, turvallisuus, turvata"
"täynnä, täydentää, täysi"
"varten, varte"
"viettää, vietto, vietto, vietto"
"vuokrata, vuokra"
"yksi, one"
"ase, aseellinen, aseistaa, lyömäase"
asentaa
epä
eräänlainen
fiskars
"hakata, hakkaus, iskeä, isku"
"halkaista, haljeta, halkeilla, halkoa"
halko
"herra, herrasmies"
intiaani
jääkiekko
"kaataa, kaato, kaatua, kaataja"
kahva
"katkaista, katkaisu"
"katkoa, katko, katkos"
"kauhu, kauhea"
leffa
"keksintö, keksiä"
kiilautua
kirves
kirvesrinta
kärki
"käsi, käsivarsi"
"kätevä, kätevyys"
käyte
kääpiö
"lapsi, lapsuus"
"löytyä, löytää"
"metallinen, metalli"
metsuri
metsä
"moottori, moottori, moottoroida"
"saha, sahalaitainen, sahata, sahaus"
"muotoinen, muoto"
onnettomuus
paloitella
perustua
pilkkoa
"puu, puinen, puusto"
"valkoinen, valkaista, valkea, valko"
"varsi, varrellinen, varressa, varresta, vartinen"
"pääsääntöisesti, pääsääntö"
pölkky
raskas
"sauna, saunoa"
sormi
sormus
tahko
tamperelainen
tappara
tarkkuus
teloitus
"teroitus, teroittaa"
"teräs, teräksinen"
"terävä, terävä, terävyys"
"tietty, tietynlainen, tietyntyyppinen"
"työkalu, työväline"
"vaarallinen, vaara, vaarallisuus"
"vaatia, vaatimaton, vaatimus, vaativa"
"vanha, iäkäs, vanhahko"
viikinki
vipu
"väärä, vääränlainen"
"yhdistää, yhdetä, yhdistetty, yhdistyä, yhdistyminen"
"aasia, aasia"
aineenvaihdunta
alkoholi
"juoma, juominen, juoda, juotava, juotava"
"aurinko, aurinkoinen"
avokado
pasta
booli
c-vitamiinipitoinen
corona
drinkki
englanti
"kieli, kielellinen, kielinen"
etelä
"haava, haavoittaa, haavoittua, haavoittuva"
"halpa, halpuus"
"hapan, hapattaa, hapetin"
"hedelmä, hedelmäinen, hedelmäliha"
"hillo, hillottaa"
itämainen
jogurtti
kakku
kalifornia
kastike
"keltainen, kellertävä, kelta"
"vihreä, vihertävä, vihreys"
key
"kirpeys, kirpeä"
käydä
käynti
"limetti, lime"
"limsa, limonadi, limu"
lisuke
"makea, makeahko"
"mehukas, mehu"
mojito
"pallo, palloilu"
"pehmeä, pehmeähkö, pehmentää, pehmetä, pehmeys, pehmoinen"
pikkuveli
"pyöreä, pyöreähkö, pyöriä, pyöritellä, pyörittää, pyörö"
raikas
ruoanlaitto
saari
"sekoittaa, sekoite, sekoitus"
"sellaisenaan, sellainen, sellaisenaan, sellaista, sellaista, semmoinen"
"sitruuna, sitrus"
"sopia, sopia, sopimus"
"sukulainen, suku, sukulaisuus"
tequila
tuonti
"tuoreus, tuore"
"ulkomaa, ulkomaailma"
"sävyinen, sävy, sävyttyä"
happi
vety
"afrikka, afrikka, afrikkalainen"
"aiheuttaa, aiheuttaja, aiheutua"
"aine, aineellinen, aines, ainesosa"
aste
celsius
dipoli
di
oksidi
ehto
"elinehto, elintärkeä"
erikseen
"etu, etu, etuus"
hana
atomi
hiiri
huoneenlämpö
"höyry, höyryttää, höyrystyä"
ioni
jano
joki
juokseva
järvi
"jää, jäinen"
jäätyä
"kaasu, kaasumainen, kaasuuntua"
kaivo
"kalori, kalorinen"
keho
"kemiallinen, kemia, kemikaali"
kiinteä
kirkas
kiteytyä
kraana
laimentaa
laiva
litra
"liuotin, liueta"
kide
"luonnollinen, luonnonmukaisuus"
luonto
"luonnonvara, luonnonvarainen"
lämpötila
"läpinäkyvyys, läpinäkyvä"
"maa, maa-alue, maanosa, maapala"
maapallo
meri
molekyyli
"muuttua, muuttuja"
märkä
"n, n"
nolla
"oleellinen, olennainen"
pakkanen
perusta
"pestä, peseytyä, pesu"
prosentti
"puhdistaa, puhdas, puhdistaja, puhdistautua, puhdistus, puhtaus, putsata, putsaus"
pula
"valmistus, valmistaa, valmistaja, valmistautua, valmistella, valmistelu, valmistua"
"sammuttaa, sammua, sammuttaja"
"sota, sotatila, sotia, sotilaallinen, sotilaskäyttö"
suihku
"sulaa, sula, sulamispiste, sulattaa, sulatus, sulavuus"
"syntyä, synty"
taivas
"terveellisyys, terve, terveellinen, terveydentila, terveys"
"tulevaisuus, tuleva"
täytyä
"uida, uima, uimakyky, uiskennella, uittaa"
valtaosa
väliaine
"yhdiste, yhdistellä, yhdistelmä"
"ylläpitäjä, ylläpitää, ylläpito"
aatami
aggressiivinen
"aikaansaada, aikaansaannos, aikaansaava"
alhainen
"alla, alle, alle, alta"
"ala, ala"
avomies
"dominoida, dominantti"
ehtiä
"ennen, ennemmin, etukäteen"
"erota, ero, erottaa, erotella, erottua, erotus"
farkku
fyysinen
"henkilö, henkilöhahmo, ihminen"
herkkä
homo
humanoidi
"uros, koiras, urospuolinen"
"isä, isi"
jalkapallo
jeesus
"johtaja, johtajuus, johtava, johtoasema, johtohahmo"
"jälkeläinen, jälkikasvu"
jälkiliite
"kaikkivaltias, kaikkivoipa"
karismaattinen
"karvainen, karva, karvoitus"
"kestävä, kestää, kestävyys"
kohtu
komea
"korjaus, korjata"
kromosomi
"kumppani, puoliso, kumppanuus"
"kutsua, kutsu, kutsunta"
kuvaava
käytännöllinen
"lihaksikas, lihas"
"lisääntyä, lisääntymiskyky"
"lyhyt, lyhentyä, lyhentää"
"matala, madaltua, matala, matalahko"
möreä
"nähdä, näkö"
"oikeudenmukainen, oikeudenmukaisuus"
ote
otus
parrakas
parta
penis
perheenpää
yksikkö
perustaa
piirre
pippeli
poika
"poikkeava, poikkeama, poikkeuksellinen, poikkeus"
"puolustaja, puolustaa, puolustautua, puolustus"
pääte
raju
sapiens
"seksikäs, seksi, seksuaalinen, seksuaalisuus"
siitin
sovinisti
standardi
"malli, malli, mallinen"
"jatkaa, jatke, jatko, jatkua, jatkumo, jatkuva, jatkuvasti"
tarpeeksi
telaketju
feminismi
testosteroni
pitoisuus
tienata
"toimeentulo, toimeentuleva"
tossu
tukka
tunteellinen
"tuottaa, tuottaja"
"tyypillinen, tyypillisesti"
"täysikasvuinen, täyspäiväinen"
"uhka, uhata, uhkaava, uhkailu, uhkakuva, uhkaus"
uhri
valta
asema
"vastakohta, vastakkain, vastakkainen"
"veli, bro, veljes"
versio
"viiksi, viiksekäs"
"viisas, nero, viisastaa, viisastua, viisaus"
y
yläpuoli
"yritys, yrittää, firma"
"ääni, ääninen"
aa-kerho
algebra
"ali, ali"
"armeija, intti, asevelvollisuus, asepalvelus, merivoima, puolustusvoimat"
assosioida
"auttaa, auttaja, auttavainen, avittaa, avulias, avustaa, avustaja"
"hahmottaa, hahmotella, hahmotus"
"hauska, hauskanpito, hauskuus, hauskuuttaa, hassu, hilpeä, hupi, huvi"
"helppo, helpottaa, helpotus, helppo, helppous"
henki
"hierarkia, hierarkinen"
homogeeninen
joukko
"inspiraatio, inspiroida"
intressi
"jaksollinen, jakso, jaksollisuus"
"hahmo, hahmo"
jolla
joukkue
"järjestelmä, järjestellä, järjestelmällinen, järjestelmällisyys, järjestys"
"jäsen, jäsenyys"
vaihe
"keskenään, keskinäinen"
kivääri
"kokoontua, kokous, kokoustaa"
"koulu, koululainen, koulunkäynti, koulutyö"
kriteeri
kymmenen
"tulos, tuloshakuisuus"
"luoda, luomistyö, luomus"
"luokittelu, luokitella, luokitus"
"läpi, läpäistä"
"matematiikka, matemaattinen, matikka"
missio
"määritellä, määre, määritelmä, määrittää, määrittely, määrittely, määrittyä, määritys"
objekti
olio
paine
peruskäsite
porukka
projekti
"puolesta, puolesta"
"pyrkiä, pyrkiä, pyrkimys"
päämäärä
rooli
"ryhmitellä, ryhmä, ryhmittää, rykelmä"
"keskustelu, keskustella"
saattaa
"saavuttaa, saavuttavuus, saavutus"
sarake
"sääntö, sääntö, säännöstellä"
"taktinen, taktikointi"
"tavata, kohdata"
"tehokas, teho, tehokkuus, tehostaa, tehoste, tehota"
tiimi
"toiminta, toiminnallinen"
"tuntea, tuntemus, tunnustella, tuntuma, tuntu, tuntua, tuntuinen"
"tuottava, tuottavuus, tuotto, tuottoisa"
"tyhmyys, tyhmä"
voimistaa
vuoksi
"vuorovaikutus, vuorovaikuttaa"
yhdistys
yhteenkuuluvuus
yhteinen
"yhteistyö, yhteispeli"
yhteisvastuu
"yhteys, yhteydenpito"
arbuusi
eksoottinen
jälkiruoka
"päivä, päivisin, päivittäin, päivittäinen, jokapäiväinen"
"kuoria, kuori"
"kuuma, kuumentaa, kuumeta, kuumuus"
"tuote, tuotos"
meloni
mieto
"ominainen, ominaislaatu"
ovaali
"pelkästään, pelkkä"
"raidallinen, raidakas, raidoittaa, raita"
ruusu
salaatti
seassa
"siemenellinen, siemen, siemenkota"
"sisäosa, sisäpuoli, sisätila"
"tahrata, tahra, tahria, tahriintua"
täyttää
ulkoa
"ulkomuoto, ulkonäkö"
valtava
"veistellä, veistää, veistely"
vesimeloni
viina
"kasvi, kasvikunta, kasvillisuus, kasvis"
välipala
"alku, alkaa, aloitus, aloittaa"
bering
bospori
"erikokoinen, erikorkuinen, eripituinen, erimuotoinen, erisuuruinen"
geologinen
gibraltar
salmi
"heikko, heikkous"
helsinki
hevonen
hieno
"itä, itäinen, itämaat"
"raja, rajallinen, rajata, mainostaa, mainos, sotavanki"
kala
"kalastaa, kalastaja, kalastus"
kannas
"kapea, kapeus"
kari
kariutua
karjala
kattegat
"kaunis, kauneus, kaunistaa, kaunistautua, nätti"
kirjain
väylä
laatokka
lahti
"liikenne, liikennöidä"
lossi
"lukea, luettava, lukeminen, lukija, lukutaito"
luovuttaa
kaistale
"maantieteellinen, maantiede, maantieto"
makkara
navigoida
pato
pepperoni
pitäjä
"pizza, pitsa"
pullo
kaula
"purjehtia, purje, purjehdus, purjehtija"
rannikko
termi
salami
satama
siivu
"sijaita, sijainti, sijoitella"
silta
"kohta, kohta, kohtaan"
"strateginen, strategia"
suolainen
"suomalainen, suomalaisuus, suomi, suomi"
ulottua
reitti
vexi
viisi
yleiskieli
ahdas
"alas, alaspäin, alempi, alhaalta, alhaalla, alin"
ambulanssi
elitisti
"erämaa, erä, erätaito"
"etsiä, etsiytyä, etsintä"
harvinainen
helikopteri
"huomata, huomioida, huomioonottaa"
hyrrä
hytti
"kadota, kadoksissa, kadottaa, kateissa"
kaksimielinen
ketterä
kiito
rata
kohtalainen
koppi
"kovaa, kova, kovasti, kovin, kovuus"
"kulkuneuvo, kulkuväline, ajoneuvo, kulkuneuvo, liikenneväline"
"kyyditä, kyyti"
laskeutua
"hyppy, hyppiä"
varjo
"lentää, lentäjä, lentävä, lento, lennättää"
kenttä
"lentokone, lennokki"
liike
"liikkua, liikkuva, liikkuvuus, liikkuja"
mediheli
näyttävä
"pelastus, pelastaa"
operaatio
viranomainen
pilotti
poiketa
"poltto, polttaa, polttava"
poro
lauma
potkuri
propelli
"pystyä, magneettikenttä, magneetti, magneettinen"
roottori
"soikio, soikea"
"sotilas, sotilas, soturi"
"suora, suora, suoraan, suoruus"
surista
"ylös, ylöspäin"
"symmetrinen, symmetria, symmetrisyys"
kaltainen
kaveta
karkea
"kuvailla, kuvastaa, kuvata, kuvaus"
"lajike, laji, lajisto"
"leveä, levetä, leveys"
matta
nahkea
omena
pilaantua
"puoli, puoli, puolisko"
pussi
päärynä
roikkua
"ruma, rumuus"
"ruskea, rusehtava, ruskeahko, ruskehtava"
siideri
"sininen, sinertää, sinertävä"
home
sokeri
"ylhäältä, ylhäällä"
"aiemmin, aiempi"
"aisti, aistia, aistimus, aistin"
aleksis
"sointu, sointua"
eino
elias
erikielinen
"esittää, esittäjä"
essee
"esteettinen, esteettisyys, estetiikka"
haiku
"historia, historiallinen"
"humoristinen, huumori"
ilman
"jono, jonottaa"
"kalevala, kale"
kauno
"keskiaika, keskiaikainen"
kielikuva
"kirja, kirjallinen, kirjallisuus"
"kirjoitelma, kirjoitus"
kirjoittaa
korkeakulttuuri
kosiskella
"käsitellä, käsittelijä, käsittely"
lahja
"laulaa, laulaja, laulu"
lause
lausua
leino
lukio
lyyrisyys
lönnroth
"merkitys, merkityksellinen, tarkoittaa, tarkoitus"
mielleyhtymä
moderni
"monitulkintaisuus, monitulkintainen"
"musiikki, musiikillinen, musikaalisuus, musisoida, musisointi"
"mystiikka, mystinen, mystisyys"
"nykyään, nyky, nykyaika, nykyaikainen, nykyhetki, nykyinen, nykyisyys, nykymaailma, nykypäivä"
"oivaltaa, oivallus"
ominaisuus
"perinne, perinteikäs, perinteinen"
pätkä
laatikko
"riimittää, riimi, riimittely, rimmata, rimmata"
"runoilija, runo, runous"
mainen
"leikki, leikitellä, leikki, leikkiä, leikkikalu, lelu, leikkisä, leikkisyys"
"sommitelma, somistaa"
"symbolisuus, symbolisoida, symboloida"
syvällinen
"säe, säkeistö"
"taide, taiteellinen, taiteilija"
tarina
"kerronta, kerrottava, kertoa, kertoja, kertoma, kertomus"
tavu
tekele
teksti
"tunne, tunto"
vaikeaselkoinen
vedota
äidinkieli
"aalto, aaltoilla, aallokko"
aallonmurtaja
maljakko
yliopisto
alvar
amplitudi
"byrokratia, byrokraattinen"
"edellä, edeltää, edelleen, edellinen, edempi, edessä, edestä"
energia
epäonnistua
eroosio
espoo
eteen
eteenpäin
"fysiikka, fysikaalinen"
haitata
"harja, harjas, harjata"
hiukkanen
"huippu, huipentuma"
hyöky
"informaatio, informatiivinen, informoida"
innovatiivinen
innovatiivisuus
kiva
kohouma
kosini
kävijä
laine
"virta, virrata, virtaavuus, virtaus"
"muodokkuus, muodokas"
"nopeus, nopea, nopeuttaa"
ongelma
periodi
peräkkäin
"pitkin, pitkin"
"pitkittäin, pitkittäinen"
"poikittainen, poikittain"
radio
"ranta, rantautua"
"sanoa, sanella"
schrödinger
"siirtää, siirrellä, siirtäjä, siirto, siirtyä, siirtymä"
sini
sukunimi
"surffaus, surffailla, surffailu, surffata"
syklinen
"säteily, säteillä"
taajuus
taittua
"tihentymä, tiheä, tiheys"
"tutkia, tutkija, tutkimus, tutkiskella, tutkinta"
tyhjiö
tärähdys
ulkoinen
vahinko
"vaikutus, vaikuttavuus, vaikuttaa, vaikuttaja, vaikuttaminen, vaikuttaminen, vaikuttava"
veivi
massa
pisara
"välittyä, välittää, välittäjä, välitys"
värähtely
yhtälö
finnair
häkkyrä
hävittäjä
"idea, mieleenjohtuma, mielijohde"
"väline, väline"
"julkinen, julki, julkistaa, julkisuus, julkkis"
kanaria
kapteeni
"kauas, kauemmas, kauempi, kauimmainen"
kerosiini
"kerta, kerralla"
kiitorata
"kuolema, kuolettava, kuolinilmoitus, kuolla, kuollut"
laskuvarjo
lentoemäntä
lentokapteeni
lentoyhtiö
"liitää, liidellä"
lintu
maasto
itu
kuvio
"mahdollistaa, mahdollinen, mahdollistua, mahdollisuus"
matkustamo
"putkilo, putki, putkimainen"
miten
"nousu, nousta"
"ohjaamo, ohjaaja, ohjailla, ohjata, ohjattava, ohjain, ohjautua, ohjaus"
"palvella, palvelija, palvelu, palvelus"
"paperinen, paperi"
polttoaine
pommi
"pudottaa, pudota"
"puikula, puikula"
runko
"sata, sata"
"siipi, siiveke, siivellinen"
siviili
sodankäynti
sojottaa
stuertti
syöksyä
laite
todella
"toisinaan, toistaiseksi"
turbiini
turbulenssi
turisti
tutka
"tästä, tässä"
vauhti
vesitaso
"viedä, viejä"
wright
äänekäs
"ainoa, ainut, ainutkertainen, ainutlaatuinen"
allekirjoittanut
"avioliitto, avio, avioitua, aviomies, aviopari"
lupaus
"ennalta, ennallaan"
esiliina
hame
hengetär
häät
jäkättää
kaulin
"kautta, kautta, kautta"
keski-ikä
kärsivällinen
"laki, laillinen, lainalaisuus, lainoppinut, lainsäädäntö, lakimies, lakisääteinen"
mekko
"mielipide, näkemys, näkökanta, näkökulma, mieltää"
moniavioinen
murre
naida
nimetön
nimike
"odottaa, odotella, odottamaton, odotus"
osapuoli
"parisuhde, pariskunta, pariutua"
"perijä, periä, perillinen"
piristää
"pukeutua, pukea, pukeutuminen, pukeutuminen, pukeutumistyyli, puvustus"
"rakastaa, rakas, rakastaja, rakastavainen, rakastettava, rakastettu, rakastua, rakkaus"
"riippua, riippuvainen, riippuvuus"
sitoa
"sitoutua, sitoumus"
sääty
"solmia, solmu"
"säätää, säätely"
taloudellinen
tuki
tuomari
uskollinen
vaimo
valittaa
"vastine, vastin"
vihkisormus
virallinen
vispilä
yhdenvertainen
"äiti, äitiys"
äpärä
baabel
bongata
disney
elämys
"harmaa, harmahtava, harmaantua"
"hotelli, hostelli"
"hyökkäys, hyökätä"
kavuta
kello
porras
"kohota, kohottaa, kohotus"
"korkea, korkea, korkeus, korkuinen"
lainkaan
lego
johto
"torni, torni"
letku
"linna, linnake, linnoittaa, linnoitus"
lähinnä
maisema
nappula
nuoli
"nähtävyys, nähtävä"
näkymä
näköala
pisa
prinsessa
raamattu
ravintola
ritari
ruusunen
shakki
"sieltä, siellä, siihen, sinne"
"tarkkailu, tarkistaa, tarkka, tarkkailla"
tarot
kortti
taso
tiili
tyrmä
tähkäpää
"tähystys, tähystää"
"valtakunta, valtakunnallinen"
"valvonta, valvoa, valvoja, valvomo"
"vanhanaikainen, vanhoillinen, vanhahtavasti"
vartio
"kuva, kuvaaja, kuvallinen"
vihollinen
ympäristö
"abstrakti, abstraktinen, abstraktio"
"ajatella, ajattelija, ajattelu, ajatus, miete, mietiskely, mietteliäs, miettiä, mietiskellä"
"akateeminen, akateemikko"
"arvo, arvoinen, arvoinen, arvokas, arvokkuus, arvolatautunut"
arvostaa
diffuusi
haltija
hehkuttaa
"hengähdys, hengähtää"
tauko
"hetki, hetkellinen, hetkinen"
idealistinen
ihmisoikeus
ihmisyys
"ilo, iloinen, iloisuus, iloita"
itsemääräämisoikeus
"itsenäisyys, itsenäinen"
itsestäänselvyys
"kahle, kahlehtia, kahlita"
kiireettömyys
"kokemus, kokenut"
"kontrolli, kontrolloida, kontrollointi"
lupa
"menettää, menetys"
"mistään, mistä"
näennäinen
"oikeus, oikeudenkäynti, oikeusistuin, oikeusjuttu, oikeussali"
"oletus, olettaa"
orjuus
periaate
"perustelu, peruste, perusteella, perusteellinen, perustella"
"poliittinen, poliitikko, politiikka, politikointi"
pomo
puute
"päättää, päättäjä, päättävä"
päätös
"rangaistus, rangaista"
"rentouttaa, rento, rentoutua, rentoutus"
sitoutumattomuus
"tahtoa, tahto"
"taata, takuu"
teko
totella
tuoda
"vaikeus, vaikea, vaikeuttaa, vaikeutua"
vallankumous
vangita
"vankila, vankeus, vanki"
"velvoite, velvollinen, velvollinen, velvollisuus"
yhdysvallat
aamupäivä
"raha, rahaa, rahallinen, rahamäärä, rahoittaa, rahoitus"
boheemi
coelho
douglas
elanto
elättää
fakta
fiktiivinen
fiktio
halme
tapaus
"istua, istuin, istumapaikka"
istumatyö
itsekuri
itse
jakaja
"julkaista, julkaisija, julkaisu"
kielioppi
"kirjailija, kirjoittaja"
kutsumus
"kykenevä, kyetä, kyky, kykyisyys"
kynä
michael
"mielikuvituksellinen, mielikuva, mielikuvitus"
nojatuoli
novelli
"omalaatuinen, omanlainen, omaperäinen, omintakeinen, omituinen"
"palkinto, palkita, palkkio"
läjä
paul
proosa
taidella
tausta
"tieto, tietous"
tie
tony
"tupakoida, tupakka"
veikko
viini
visionäärinen
artisti
bändi
"huuto, huutaa"
"ilmainen, maksuton"
"improvisoida, improvisaatio"
"instrumentti, instrumentaalinen"
"kaava, kaavamainen, kaavio"
"kirkko, kirkollinen"
kokoelma
sidonnainen
kuoro
"kuunnella, kuuntelija, kuuntelu"
"melodinen, melodia"
noudattaa
nuotti
ooppera
osuus
rituaali
"rytminen, rytmi, rytmittää"
"sanoitus, sanoittaja, sanoittaa, sanonta"
"suu, puhe-elin, suuaukko"
"säestys, säestää"
tahti
teema
"tulkitsija, tulkinta, tulkintaisuus, tulkita, tulkitseminen"
valas
yleisö
huuli
ääntö
aineeton
"avaruus, avaruudellinen"
esine
funktio
gramma
gravitaatio
henkilökohtainen
"huoli, huolestua"
aihe
johtua
kehonrakennus
kuntosali
kuu
"kytkeytyä, kytkeä, kytkin, kytkös"
lehti
"lihavuus, lihava, lihoa"
veto
"myötä, myötäsyntyinen"
newton
olento
"olosuhde, olosuhteet"
pauna
perustavanlaatuinen
"punnus, punnita, puntari"
"putoaminen, putoilla"
päänvaiva
referenssi
sali
sopiva
suure
"tasapainottaa, tasapaino, tasapainoilu, tasapainoinen, tasapainotella"
tekopaikka
tähtäys
vaaka
vakaa
vakio
vektori
vetovoima
"vähentää, vähentyä, vähetä"
"ylipainoinen, ylipaino"
alppi
elementti
eväs
"hajottaa, hajota, hajottaja"
"ikuinen, ikuistaa, ikuisuus"
ikään
"joustaa, joustava"
jyrkkä
"jämerä, jämäkkä, järeä"
"kallio, kallioperä"
"alusta, alusta"
"kiipeillä, kiipeilijä, kiipeily, kiivetä"
"kulua, kuluttaa, kuluttaja, kulutus"
laakea
loiva
"louhinta, louhia"
luja
x
"läheisyys, läheinen, lähekkäinen, lähentyä"
"maalata, maalari, maalaus, maali, maalailla"
järistys
maaperä
laatta
mineraali
"muodostelma, muodostaa, muodostua, muodostuma, muodostus"
"näkyä, näkyä, näkyä"
"paljastaa, paljas, paljastin"
peruskallio
presidentti
saaristo
"sammaloitua, sammal"
sileä
tukeva
"vankka, vanttera, vankkarakenteinen"
varrella
yhteentörmäys
"bakteeri, pöpö"
ensiapu
epävarmuus
"erillinen, erillään, erilleen, erillisyys"
"hoitaja, hoitaa, hoitaminen, hoito, hoivata"
"hätä, hätääntyä, hätäinen, hätiköidä"
instituutio
jonne
kerääntyä
kliininen
kolkko
käytävä
laitos
leikkaus
loukkaantua
